ticket_id,text,channel,category
TCK000036,"hi my direct debit for the loan failed, how do I catch up many thanks",phone_transcript,fraud_dispute
TCK000037,dear team biometric login stopped working after the latest update,web,account_access
TCK000038,hi something is wrong with my statement!!,app,complaint
TCK000039,HELLO WHAT DOCUMENTS DO I NEED TO UPDATE MY ADDRESS THANKS,phone_transcript,general_enquiry
TCK000040,what is the early settlement figure for my loan account regards,email,loan_servicing
TCK000041,"dear team third time raising this issue, nobody has called me back!",email,complaint
TCK000042,good morning please explain the interest charge on my last statement.,web,billing
TCK000043,"my direct debit for the loan failed, how do I catch up regards",app,loan_servicing
TCK000044,HI TEAM THE ANNUAL FEE OF £104.23 WAS APPLIED TWICE TO MY STATEMENT.,email,billing
TCK000045,hi team please explain the interest charge on my last statement,phone_transcript,billing
TCK000046,good morning the one time passcode never arrives on my phone!!,email,account_access
TCK000047,GOOD MORNING THE ANNUAL FEE OF £77.38 WAS APPLIED TWICE TO MY STATEMENT!!,app,billing
TCK000048,dear team biometric login stopped working after teh latest update thanks,app,account_access
TCK000049,"DEAR TEAM CANNOT LOG IN TO THE APP, IT SAYS MY CREDENTIALS ARE INVALID!",email,account_access
TCK000050,good morning my username is not recognised even though the account is active!!,web,account_access
TCK000051,"this is teh worst service I have received, I am moving my accounts regards",web,complaint
TCK000052,THE ONE TIME PASSCODE NEVER ARRIVES ON MY PHONE!,app,account_access
TCK000053,can someone look at my account urgently please help,web,complaint
TCK000054,hi please explain the interest charge on my last statement many thanks,web,billing
TCK000055,hello something is wrong with my statement,email,billing
TCK000056,hello I want to make a formal complaint about the handling of my case thanks,phone_transcript,complaint
TCK000057,hi team can I change my monthly instalment date to teh 7th!,email,loan_servicing
TCK000058,hi my username is not recognised even though the account is active,app,account_access
TCK000059,"GOOD MORNING UNAUTHORISED PAYMENT OF £768.16 SHOWING ON STATEMENT, CARD WAS IN MY WALLET REGARDS",app,fraud_dispute
TCK000060,I HAVE BEEN WAITING 4 WEEKS FOR A RESPONSE AND THIS IS UNACCEPTABLE REGARDS,email,complaint
TCK000061,why was I charged £575.20 this month when my plan is fixed please help,email,billing
TCK000062,"hello my card is not working, what do I do please help",web,loan_servicing
TCK000063,good morning the one time passcode never arrives on my phone regards,app,account_access
TCK000064,GOOD MORNING I WAS BILLED £214.80 AFTER I ALREADY CANCELLED THE SERVICE,web,billing
TCK000065,"hi team cannot log in to the app, it says my credentials are invalid!",app,account_access
TCK000066,"hello this is the worst service I have received, I am moving my accounts!",web,complaint
TCK000067,good morning how do I order a replacement card for a lost one.,app,general_enquiry
TCK000068,good morning my username is not recognised even though the account is active please help,email,account_access
TCK000069,"hi my direct debit for the loan failed, how do I catch up please help",app,loan_servicing
TCK000070,"unauthorised payment of £509.86 showing on statement, card was in my wallet!!",web,fraud_dispute
TCK000071,the annual fee of £562.59 was applied twice to my statement,app,billing
TCK000072,"good morning locked out after three attempts, need my password reset thanks",web,general_enquiry
TCK000073,HI I DID NOT AUTHORISE THE £386.50 CHARGE FROM UBER TRIP ON MY CARD!!,app,fraud_dispute
TCK000074,good morning teh one time passcode never arrives on my phone,app,account_access
TCK000075,"MY CARD IS NOT WORKING, WHAT DO I DO REGARDS",email,loan_servicing
TCK000076,I was billed £802.17 after I already cancelled the service many thanks,app,billing
TCK000077,hi team what documents do I need to update my address thanks,app,general_enquiry
TCK000078,I have been waiting 7 weeks for a response and this is unacceptable please help,phone_transcript,complaint
TCK000079,hi team what is the early settlement figure for my loan account many thanks,phone_transcript,loan_servicing
TCK000080,hello do you offer joint accounts for students!,email,general_enquiry
TCK000081,hi requesting a payment holiday for 5 months on my loan many thanks,email,loan_servicing
TCK000082,HI TEAM THE ANNUAL FEE OF £503.60 WAS APPLIED TWICE TO MY STATEMENT!,email,billing
TCK000083,HI BIOMETRIC LOGIN STOPPED WORKING AFTER THE LATEST UPDATE THANKS,phone_transcript,account_access
TCK000084,"hi team payment issue on my account, need this sorted today please help",web,account_access
TCK000085,"dear team duplicate direct debit taken, need a refund of £211.39 thanks",phone_transcript,billing
TCK000086,GOOD MORNING CAN SOMEONE LOOK AT MY ACCOUNT URGENTLY MANY THANKS,app,fraud_dispute
TCK000087,"HI SOMEONE USED MY DEBIT CARD AT TESCO EXPRESS, I WANT A CHARGEBACK",app,fraud_dispute
TCK000088,my username is not recognised even though the acount is active please help,web,account_access
TCK000089,"hi team my acount was compromised after a phishing text, £389.50 is missing please help",app,fraud_dispute
TCK000090,how do I order a replacement card for a lost one,app,general_enquiry
TCK000091,hello I want to make a formal complaint about teh handling of my case thanks,email,complaint
TCK000092,hello can I change my monthly instalment date to the 8th many thanks,email,loan_servicing
TCK000093,the one time passcode never arrives on my phone!!,email,account_access
TCK000094,"hi team locked out after three attempts, need my password reset many thanks",app,account_access
TCK000095,"good morning locked out after three attempts, need my password reset thanks",web,account_access
TCK000096,hi what documents do I need to update my address regards,email,general_enquiry
TCK000097,dear team there are 4 transactions I do not recognise please block the card,app,fraud_dispute
TCK000098,DEAR TEAM MONEY MISSING FROM MY ACCOUNT PLEASE HELP,app,fraud_dispute
TCK000099,"hi someone used my debit card at UBER TRIP, I want a chargeback regards",phone_transcript,fraud_dispute
TCK000100,the annual fee of £722.69 was applied twice to my statement regards,app,billing
TCK000101,can I change my monthly instalment date to the 6th thanks,web,loan_servicing
TCK000102,HI TEAM I WANT TO MAKE A FORMAL COMPLAINT ABOUT THE HANDLING OF MY CASE!!,email,complaint
TCK000103,HELLO WHAT IS THE EARLY SETTLEMENT FIGURE FOR MY LOAN ACCOUNT!!,app,loan_servicing
TCK000104,hi there are 4 transactions I do not recognise please block the card!!,app,fraud_dispute
TCK000105,"hi please review my account, the numbers look wrong please help",app,loan_servicing
TCK000106,"hi team duplicate direct debit taken, need a refund of £149.93 thanks",email,billing
TCK000107,dear team I was billed £375.23 after I already cancelled the service please help,email,billing
TCK000108,hi team the branch staff were rude and refused to escalate my case!!,web,complaint
TCK000109,hello what are your branch opening hours on a saturday thanks,email,general_enquiry
TCK000110,good morning is there a fee for withdrawing cash abroad!,email,general_enquiry
TCK000111,requesting a payment holiday for 8 months on my loan!!,app,loan_servicing
TCK000112,"GOOD MORNING THIRD TIME RAISING THIS ISSUE, NOBODY HAS CALLED ME BACK.",email,complaint
TCK000113,hi do you offer joint accounts for students please help,email,general_enquiry
TCK000114,HI MY USERNAME IS NOT RECOGNISED EVEN THOUGH THE ACCOUNT IS ACTIVE MANY THANKS,app,account_access
TCK000115,good morning the one time passcode never arrives on my phone!!,web,account_access
TCK000116,I was billed £95.48 after I already cancelled teh service thanks,email,billing
TCK000117,I was billed £546.55 after I already cancelled teh service please help,phone_transcript,billing
TCK000118,hi please explain teh interest charge on my last statement please help,app,billing
TCK000119,"LOCKED OUT AFTER THREE ATTEMPTS, NEED MY PASSWORD RESET REGARDS",app,account_access
TCK000120,hello the amount is not what I expected!!,email,fraud_dispute
TCK000121,"HI TEAM CANNOT LOG IN TO THE APP, IT SAYS MY CREDENTIALS ARE INVALID REGARDS",app,account_access
TCK000122,HI PLEASE EXPLAIN THE INTEREST CHARGE ON MY LAST STATEMENT PLEASE HELP,app,billing
TCK000123,"hello unauthorised payment of £644.77 showing on statement, card was in my wallet please help",web,fraud_dispute
TCK000124,I DID NOT AUTHORISE THE £168.46 CHARGE FROM TESCO EXPRESS ON MY CARD!!,app,fraud_dispute
TCK000125,good morning is there a fee for withdrawing cash abroad.,app,general_enquiry
TCK000126,I want to make a formal complaint about the handling of my case please help,email,complaint
TCK000127,hello please explain the interest charge on my last statement!!,email,billing
TCK000128,"GOOD MORNING SOMEONE USED MY DEBIT CARD AT RYANAIR, I WANT A CHARGEBACK PLEASE HELP",phone_transcript,fraud_dispute
TCK000129,hi the amount is not what I expected!,web,general_enquiry
TCK000130,"hi team my direct debit for teh loan failed, how do I catch up!!",email,loan_servicing
TCK000131,hi team my username is not recognised even though the account is active.,email,account_access
TCK000132,hi team my username is not recognised even though the account is active.,app,account_access
TCK000133,hello I was billed £565.62 after I already cancelled teh service.,app,billing
TCK000134,"hi locked out after three attempts, need my password reset thanks",email,account_access
TCK000135,HI TEAM I WAS BILLED £542.40 AFTER I ALREADY CANCELLED THE SERVICE MANY THANKS,email,billing
TCK000136,hello what are your branch opening hours on a saturday,web,general_enquiry
TCK000137,good morning is there a fee for withdrawing cash abroad!,app,general_enquiry
TCK000138,hi why was I charged £163.08 this month when my plan is fixed,email,billing
TCK000139,dear team the one time passcode never arrives on my phone!!,web,account_access
TCK000140,good morning I want to make an overpayment of £24.29 on my loan.,email,loan_servicing
TCK000141,dear team something is wrong with my statement regards,web,billing
TCK000142,dear team money missing from my account regards,web,account_access
TCK000143,I have been waiting 8 weeks for a response and this is unacceptable please help,email,complaint
TCK000144,the annual fee of £824.81 was applied twice to my statement.,app,billing
TCK000145,"GOOD MORNING MY DIRECT DEBIT FOR THE LOAN FAILED, HOW DO I CATCH UP REGARDS",web,loan_servicing
TCK000146,the annual fee of £593.03 was applied twice to my statement many thanks,email,account_access
TCK000147,hello there are 4 transactions I do not recognise please block the card,app,fraud_dispute
TCK000148,something is wrong with my statement regards,app,general_enquiry
TCK000149,HI THE ANNUAL FEE OF £555.09 WAS APPLIED TWICE TO MY STATEMENT MANY THANKS,email,billing
TCK000150,"good morning third time raising this issue, nobody has called me back!!",email,complaint
TCK000151,hi the annual fee of £128.20 was applied twice to my statement.,email,billing
TCK000152,"hi locked out after three attempts, need my password reset many thanks",app,account_access
TCK000153,DEAR TEAM THE ONE TIME PASSCODE NEVER ARRIVES ON MY PHONE MANY THANKS,app,account_access
TCK000154,"dear team locked out after three attempts, need my password reset!",web,billing
TCK000155,"hello please review my account, the numbers look wrong thanks",app,general_enquiry
TCK000156,HELLO MY USERNAME IS NOT RECOGNISED EVEN THOUGH THE ACCOUNT IS ACTIVE MANY THANKS,email,account_access
TCK000157,good morning requesting a payment holiday for 5 months on my loan!,app,loan_servicing
TCK000158,hello there is a problem with my account please call me please help,web,billing
TCK000159,dear team the amount is not what I expected.,app,account_access
TCK000160,hi team is there a fee for withdrawing cash abroad regards,app,general_enquiry
TCK000161,HOW DO I ORDER A REPLACEMENT CARD FOR A LOST ONE MANY THANKS,app,general_enquiry
TCK000162,hi the one time passcode never arrives on my phone,email,account_access
TCK000163,"hello my account was compromised after a phishing text, £167.29 is missing thanks",web,fraud_dispute
TCK000164,requesting a payment holiday for 8 months on my loan.,app,loan_servicing
TCK000165,"HI TEAM CANNOT LOG IN TO THE APP, IT SAYS MY CREDENTIALS ARE INVALID.",app,account_access
TCK000166,WHY WAS I CHARGED £885.12 THIS MONTH WHEN MY PLAN IS FIXED MANY THANKS,app,billing
TCK000167,hi team is there a fee for withdrawing cash abroad regards,phone_transcript,billing
TCK000168,MY USERNAME IS NOT RECOGNISED EVEN THOUGH THE ACCOUNT IS ACTIVE PLEASE HELP,app,account_access
TCK000169,good morning why was I charged £313.41 this month when my plan is fixed.,email,billing
TCK000170,dear team please explain the interest charge on my last statement thanks,app,billing
TCK000171,good morning why was I charged £601.06 this month when my plan is fixed,app,billing
TCK000172,HI TEAM MY USERNAME IS NOT RECOGNISED EVEN THOUGH THE ACCOUNT IS ACTIVE REGARDS,email,account_access
TCK000173,GOOD MORNING PLEASE EXPLAIN THE INTEREST CHARGE ON MY LAST STATEMENT PLEASE HELP,app,billing
TCK000174,hi is there a fee for withdrawing cash abroad!!,web,general_enquiry
TCK000175,GOOD MORNING CAN SOMEONE LOOK AT MY ACCOUNT URGENTLY PLEASE HELP,web,general_enquiry
TCK000176,good morning is there a fee for withdrawing cash abroad,phone_transcript,general_enquiry
TCK000177,WHY WAS I CHARGED £623.30 THIS MONTH WHEN MY PLAN IS FIXED,email,billing
TCK000178,dear team I was billed £345.30 after I already cancelled the service.,email,billing
TCK000179,"dear team my account was compromised after a phishing text, £204.62 is missing regards",app,fraud_dispute
TCK000180,dear team please explain the interest charge on my last statement.,email,billing
TCK000181,"hi team cannot log in to the app, it says my credentials are invalid please help",app,account_access
TCK000182,DEAR TEAM THERE ARE 3 TRANSACTIONS I DO NOT RECOGNISE PLEASE BLOCK THE CARD!,app,fraud_dispute
TCK000183,dear team teh annual fee of £432.09 was applied twice to my statement thanks,email,billing
TCK000184,there is a problem with my acount please call me please help,app,fraud_dispute
TCK000185,dear team I did not authorise the £736.77 charge from AMZN MKTPLACE on my card.,app,fraud_dispute
TCK000186,I did not authorise the £214.74 charge from UBER TRIP on my card regards,web,fraud_dispute
TCK000187,hi can someone look at my account urgently.,web,billing
TCK000188,what documents do I need to update my address.,app,general_enquiry
TCK000189,"hello locked out after three attempts, need my password reset.",app,account_access
TCK000190,good morning the one time passcode never arrives on my phone,app,account_access
TCK000191,hi do you offer joint accounts for students many thanks,app,general_enquiry
TCK000192,"good morning locked out after three attempts, need my password reset regards",phone_transcript,account_access
TCK000193,"HI TEAM LOCKED OUT AFTER THREE ATTEMPTS, NEED MY PASSWORD RESET REGARDS",app,account_access
TCK000194,hi do you offer joint accounts for students many thanks,app,general_enquiry
TCK000195,hello my username is not recognised even though the account is active.,web,account_access
TCK000196,hi team I did not authorise teh £540.50 charge from UBER TRIP on my card,web,fraud_dispute
TCK000197,"dear team unauthorised payment of £355.03 showing on statement, card was in my wallet many thanks",web,fraud_dispute
TCK000198,hi please explain the interest charge on my last statement please help,app,billing
TCK000199,"MY DIRECT DEBIT FOR THE LOAN FAILED, HOW DO I CATCH UP!",app,loan_servicing
TCK000200,hi team there is a problem with my account please call me thanks,email,billing
TCK000201,HI TEAM I WANT TO MAKE A FORMAL COMPLAINT ABOUT THE HANDLING OF MY CASE.,email,complaint
TCK000202,THE ANNUAL FEE OF £419.65 WAS APPLIED TWICE TO MY STATEMENT PLEASE HELP,app,billing
TCK000203,"hi team my direct debit for the loan failed, how do I catch up!!",app,loan_servicing
TCK000204,can someone look at my acount urgently thanks,web,general_enquiry
TCK000205,good morning what documents do I need to update my address regards,app,general_enquiry
TCK000206,hi I did not authorise the £872.55 charge from TESCO EXPRESS on my card regards,app,fraud_dispute
TCK000207,HELLO I WANT TO MAKE AN OVERPAYMENT OF £740.27 ON MY LOAN!!,email,loan_servicing
TCK000208,HI TEAM THE AMOUNT IS NOT WHAT I EXPECTED!!,web,billing
TCK000209,HELLO THE AMOUNT IS NOT WHAT I EXPECTED PLEASE HELP,phone_transcript,complaint
TCK000210,the one time passcode never arrives on my phone please help,email,account_access
TCK000211,"hi someone used my debit card at APPLE.COM/BILL, I want a chargeback",web,fraud_dispute
TCK000212,hello I have been waiting 4 weeks for a response and this is unacceptable please help,app,complaint
TCK000213,"HI PAYMENT ISSUE ON MY ACCOUNT, NEED THIS SORTED TODAY PLEASE HELP",email,complaint
TCK000214,"dear team cannot log in to the app, it says my credentials are invalid",app,account_access
TCK000215,hello biometric login stopped working after the latest update thanks,app,account_access
TCK000216,"good morning cannot log in to the app, it says my credentials are invalid!!",phone_transcript,account_access
TCK000217,"my card is not working, what do I do!!",web,general_enquiry
TCK000218,hi team why was I charged £328.83 this month when my plan is fixed!,app,billing
TCK000219,HI I DID NOT AUTHORISE THE £198.04 CHARGE FROM APPLE.COM/BILL ON MY CARD REGARDS,app,fraud_dispute
TCK000220,the annual fee of £452.60 was applied twice to my statement.,email,billing
TCK000221,"hello this is teh worst service I have received, I am moving my accounts regards",email,complaint
TCK000222,HI WHY WAS I CHARGED £727.70 THIS MONTH WHEN MY PLAN IS FIXED REGARDS,phone_transcript,billing
TCK000223,good morning can I change my monthly instalment date to the 5th many thanks,email,loan_servicing
TCK000224,"HI MY DIRECT DEBIT FOR THE LOAN FAILED, HOW DO I CATCH UP REGARDS",app,loan_servicing
TCK000225,"good morning duplicate direct debit taken, need a refund of £486.43!!",email,billing
TCK000226,"my account was compromised after a phishing text, £585.85 is missing regards",web,fraud_dispute
TCK000227,dear team my username is not recognised even though teh account is active.,app,account_access
TCK000228,"hi duplicate direct debit taken, need a refund of £669.34 thanks",app,billing
TCK000229,dear team what are your branch opening hours on a saturday regards,app,general_enquiry
TCK000230,GOOD MORNING I WANT TO MAKE AN OVERPAYMENT OF £351.29 ON MY LOAN REGARDS,web,loan_servicing
TCK000231,good morning the one time passcode never arrives on my phone regards,app,account_access
TCK000232,dear team can someone look at my account urgently!!,email,billing
TCK000233,"LOCKED OUT AFTER THREE ATTEMPTS, NEED MY PASSWORD RESET REGARDS",app,account_access
TCK000234,"hello my direct debit for the loan failed, how do I catch up many thanks",phone_transcript,loan_servicing
TCK000235,"dear team please review my account, the numbers look wrong",phone_transcript,loan_servicing
TCK000236,good morning need help with a charge on my account!!,app,billing
TCK000237,hello I have been waiting 5 weeks for a response and this is unacceptable!!,app,complaint
TCK000238,"hello locked out after three attempts, need my password reset thanks",app,account_access
TCK000239,dear team how do I order a replacement card for a lost one thanks,email,general_enquiry
TCK000240,hello what is the early settlement figure for my loan account regards,app,loan_servicing
TCK000241,something is wrong with my statement!,app,billing
TCK000242,"good morning unauthorised payment of £252.50 showing on statement, card was in my wallet regards",email,fraud_dispute
TCK000243,the annual fee of £172.03 was applied twice to my statement!!,app,billing
TCK000244,hello can I change my monthly instalment date to teh 7th thanks,email,loan_servicing
TCK000245,GOOD MORNING PLEASE EXPLAIN THE INTEREST CHARGE ON MY LAST STATEMENT REGARDS,web,general_enquiry
TCK000246,hello can I change my monthly instalment date to the 6th many thanks,email,loan_servicing
TCK000247,"hello duplicate direct debit taken, need a refund of £562.91 thanks",email,billing
TCK000248,my username is not recognised even though the account is active.,app,account_access
TCK000249,HI WHAT DOCUMENTS DO I NEED TO UPDATE MY ADDRESS.,app,general_enquiry
TCK000250,GOOD MORNING I WAS BILLED £816.45 AFTER I ALREADY CANCELLED THE SERVICE!,web,billing
TCK000251,"good morning this is the worst service I have received, I am moving my accounts many thanks",web,complaint
TCK000252,DEAR TEAM I DID NOT AUTHORISE THE £612.56 CHARGE FROM RYANAIR ON MY CARD.,web,fraud_dispute
TCK000253,"HI MY ACCOUNT WAS COMPROMISED AFTER A PHISHING TEXT, £637.79 IS MISSING!",email,fraud_dispute
TCK000254,hi I want to make an overpayment of £335.65 on my loan!,email,loan_servicing
TCK000255,good morning what are your branch opening hours on a saturday!,app,general_enquiry
TCK000256,"HELLO DUPLICATE DIRECT DEBIT TAKEN, NEED A REFUND OF £120.24 MANY THANKS",app,billing
TCK000257,"HI TEAM PLEASE REVIEW MY ACCOUNT, THE NUMBERS LOOK WRONG MANY THANKS",app,billing
TCK000258,dear team can I change my monthly instalment date to the 5th.,email,loan_servicing
TCK000259,can I change my monthly instalment date to teh 4th many thanks,app,loan_servicing
TCK000260,hello what documents do I need to update my address thanks,phone_transcript,general_enquiry
TCK000261,good morning what documents do I need to update my address many thanks,app,general_enquiry
TCK000262,DEAR TEAM I WAS BILLED £686.47 AFTER I ALREADY CANCELLED THE SERVICE REGARDS,phone_transcript,billing
TCK000263,hi team what are your branch opening hours on a saturday regards,app,general_enquiry
TCK000264,"hi this is the worst service I have received, I am moving my acounts please help",phone_transcript,complaint
TCK000265,hi is there a fee for withdrawing cash abroad!!,email,general_enquiry
TCK000266,hello teh annual fee of £846.24 was applied twice to my statement many thanks,app,billing
TCK000267,hi my username is not recognised even though the account is active!,phone_transcript,account_access
TCK000268,"hi my card is not working, what do I do please help",app,account_access
TCK000269,"dear team duplicate direct debit taken, need a refund of £373.66.",web,billing
TCK000270,hi why was I charged £230.64 this month when my plan is fixed!!,email,billing
TCK000271,hi team what documents do I need to update my address please help,app,general_enquiry
TCK000272,good morning what is the early settlement figure for my loan account thanks,app,loan_servicing
TCK000273,hi team the one time passcode never arrives on my phone regards,app,account_access
TCK000274,dear team please explain the interest charge on my last statement!,web,billing
TCK000275,dear team money missing from my account thanks,app,billing
TCK000276,hello do you offer joint accounts for students thanks,app,general_enquiry
TCK000277,hi the branch staff were rude and refused to escalate my case,app,complaint
TCK000278,hello something is wrong with my statement regards,app,complaint
TCK000279,hi is there a fee for withdrawing cash abroad!!,email,general_enquiry
TCK000280,good morning the annual fee of £325.94 was applied twice to my statement regards,phone_transcript,billing
TCK000281,dear team the one time passcode never arrives on my phone.,phone_transcript,account_access
TCK000282,dear team what is the early settlement figure for my loan account.,web,loan_servicing
TCK000283,REQUESTING A PAYMENT HOLIDAY FOR 6 MONTHS ON MY LOAN MANY THANKS,app,loan_servicing
TCK000284,"hi my account was compromised after a phishing text, £636.79 is missing",phone_transcript,account_access
TCK000285,THE ONE TIME PASSCODE NEVER ARRIVES ON MY PHONE THANKS,app,account_access
TCK000286,"duplicate direct debit taken, need a refund of £476.44!!",app,billing
TCK000287,I was billed £663.15 after I already cancelled teh service!!,email,billing
TCK000288,good morning what are your branch opening hours on a saturday!,email,general_enquiry
TCK000289,"good morning third time raising this issue, nobody has called me back!!",web,complaint
TCK000290,is there a fee for withdrawing cash abroad many thanks,email,general_enquiry
TCK000291,hi what are your branch opening hours on a saturday regards,app,general_enquiry
TCK000292,"GOOD MORNING MY CARD IS NOT WORKING, WHAT DO I DO",email,loan_servicing
TCK000293,HELLO WHAT IS THE EARLY SETTLEMENT FIGURE FOR MY LOAN ACCOUNT!,app,loan_servicing
TCK000294,"HI TEAM PLEASE REVIEW MY ACCOUNT, THE NUMBERS LOOK WRONG",email,general_enquiry
TCK000295,"HI MY DIRECT DEBIT FOR THE LOAN FAILED, HOW DO I CATCH UP",app,loan_servicing
TCK000296,HELLO CAN I CHANGE MY MONTHLY INSTALMENT DATE TO THE 6TH.,phone_transcript,loan_servicing
TCK000297,hello why was I charged £649.00 this month when my plan is fixed,web,loan_servicing
TCK000298,how do I order a replacement card for a lost one thanks,email,general_enquiry
TCK000299,"good morning someone used my debit card at TESCO EXPRESS, I want a chargeback regards",web,fraud_dispute
TCK000300,good morning something is wrong with my statement thanks,web,general_enquiry
TCK000301,good morning need help with a charge on my account thanks,app,fraud_dispute
TCK000302,"hi someone used my debit card at UBER TRIP, I want a chargeback please help",email,fraud_dispute
TCK000303,HELLO I WANT TO MAKE AN OVERPAYMENT OF £512.05 ON MY LOAN!!,web,loan_servicing
TCK000304,hello my username is not recognised even though the account is active,phone_transcript,account_access
TCK000305,hi I was billed £529.91 after I already cancelled the service thanks,app,billing
TCK000306,my username is not recognised even though teh account is active please help,web,account_access
TCK000307,dear team do you offer joint acounts for students!!,phone_transcript,general_enquiry
TCK000308,"good morning payment issue on my account, need this sorted today.",email,fraud_dispute
TCK000309,dear team the annual fee of £535.65 was applied twice to my statement.,email,billing
TCK000310,good morning biometric login stopped working after the latest update thanks,web,account_access
TCK000311,hello why was I charged £783.48 this month when my plan is fixed.,phone_transcript,billing
TCK000312,dear team biometric login stopped working after the latest update thanks,email,account_access
TCK000313,"good morning cannot log in to the app, it says my credentials are invalid.",email,account_access
TCK000314,hi how do I order a replacement card for a lost one please help,email,general_enquiry
TCK000315,hello what are your branch opening hours on a saturday!,web,account_access
TCK000316,"HI ISSUE WITH MY PAYMENT, SECOND TIME ASKING THANKS",phone_transcript,billing
TCK000317,hello teh amount is not what I expected please help,email,account_access
TCK000318,the branch staff were rude and refused to escalate my case please help,app,complaint
TCK000319,"HELLO MY DIRECT DEBIT FOR THE LOAN FAILED, HOW DO I CATCH UP",email,loan_servicing
TCK000320,GOOD MORNING I WANT TO MAKE AN OVERPAYMENT OF £513.38 ON MY LOAN MANY THANKS,email,loan_servicing
TCK000321,I WAS BILLED £78.04 AFTER I ALREADY CANCELLED THE SERVICE REGARDS,web,billing
TCK000322,dear team what are your branch opening hours on a saturday many thanks,app,general_enquiry
TCK000323,hello money missing from my account.,app,billing
TCK000324,hi my username is not recognised even though teh account is active!,web,account_access
TCK000325,"HI MY CARD IS NOT WORKING, WHAT DO I DO",web,fraud_dispute
TCK000326,HI THERE IS A PROBLEM WITH MY ACCOUNT PLEASE CALL ME.,web,loan_servicing
TCK000327,hello I was billed £632.75 after I already cancelled the service please help,app,billing
TCK000328,hi can someone look at my account urgently thanks,email,complaint
TCK000329,HI TEAM MONEY MISSING FROM MY ACCOUNT MANY THANKS,web,account_access
TCK000330,DEAR TEAM I WANT TO MAKE AN OVERPAYMENT OF £144.48 ON MY LOAN PLEASE HELP,app,loan_servicing
TCK000331,good morning what documents do I need to update my address please help,email,general_enquiry
TCK000332,"dear team my card is not working, what do I do many thanks",web,account_access
TCK000333,"cannot log in to the app, it says my credentials are invalid please help",phone_transcript,account_access
TCK000334,hello how do I order a replacement card for a lost one.,email,general_enquiry
TCK000335,HI THE ANNUAL FEE OF £431.41 WAS APPLIED TWICE TO MY STATEMENT THANKS,web,general_enquiry
TCK000336,"hi my account was compromised after a phishing text, £170.22 is missing many thanks",email,fraud_dispute
TCK000337,"issue with my payment, second time asking thanks",web,billing
